,Course,Year,Hrs Per Week,Interest in student learning,Instructor provides feedback to students to improve,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
0,02-000,2019,12.555,4.5,4.109999999999999,4.335,4.78,4.5,4.5
1,02-201,2014,14.25,4.17,3.25,3.5,4.25,3.67,3.25
2,02-201,2015,12.8,4.6,4.0,4.4,4.8,4.4,4.6
3,02-201,2016,12.875,4.625,3.875,4.375,4.75,4.5,4.125
4,02-201,2017,8.0,5.0,4.5,5.0,5.0,5.0,5.0
5,02-201,2018,11.75,5.0,4.5,5.0,4.5,4.75,4.75
6,02-201,2019,12.5,4.5,3.5,3.0,5.0,3.0,2.5
7,02-223,2012,,3.33,3.33,3.0,4.0,3.0,3.33
8,02-223,2013,,2.85,2.46,2.69,3.85,2.15,2.46
9,02-223,2014,6.29,3.86,2.86,2.86,4.57,2.86,3.0
10,02-250,2012,,4.25,4.25,4.0,4.25,4.25,4.0
11,02-250,2013,,3.7199999999999998,3.165,3.3899999999999997,4.0,3.5,3.165
12,02-250,2014,,4.335,3.835,4.33,4.5,4.165,4.165
13,02-250,2015,7.0,4.33,4.0,4.165,4.165,4.165,4.165
14,02-250,2016,11.0,3.93,3.07,3.07,5.0,4.0,3.21
15,02-250,2017,7.4,3.86,3.5,3.33,4.2,3.5,3.33
16,02-250,2018,8.19,4.0,3.94,3.94,4.38,3.67,3.94
17,02-250,2019,9.46,4.5600000000000005,4.28,4.15,4.87,4.145,3.98
18,02-251,2013,,5.0,2.0,2.0,5.0,3.0,2.0
19,02-251,2019,13.5,4.65,3.9499999999999997,4.25,4.85,4.4,4.15
20,02-252,2012,,4.2,4.2,4.6,4.2,4.2,4.0
21,02-252,2013,,5.0,5.0,5.0,5.0,5.0,5.0
22,02-252,2014,,3.0,4.0,3.0,3.0,4.0,4.0
23,02-261,2012,,4.54,4.38,4.08,4.54,4.31,4.0
24,02-261,2013,,4.635,4.165,4.4350000000000005,4.635,4.535,4.165
25,02-261,2014,9.0,5.0,5.0,4.33,4.67,5.0,4.0
26,02-261,2016,8.0,5.0,5.0,5.0,5.0,5.0,5.0
27,02-261,2017,5.86,4.71,4.57,4.71,4.86,4.71,4.86
28,02-261,2018,6.71,4.86,4.0,4.71,5.0,4.57,4.57
29,02-261,2019,6.71,4.86,4.86,4.71,5.0,4.57,4.71
30,02-317,2013,,5.0,4.0,4.0,5.0,5.0,5.0
31,02-317,2016,8.0,2.0,3.0,4.0,3.0,4.0,4.0
32,02-319,2017,9.0,4.75,3.5,5.0,5.0,4.0,4.0
33,02-319,2018,8.0,4.5,4.0,4.5,5.0,4.0,4.5
34,02-421,2014,,4.33,4.0,3.67,4.67,4.0,4.0
35,02-450,2014,8.0,4.875,4.625,4.75,4.625,4.71,4.71
36,02-450,2016,8.0,5.0,5.0,5.0,5.0,5.0,5.0
37,02-450,2017,9.5,4.25,3.0,4.25,4.5,4.0,3.75
38,02-450,2019,8.0,3.0,3.0,4.0,4.0,4.0,4.0
39,02-510,2013,,2.5,2.0,4.5,4.0,3.5,3.5
40,02-510,2015,7.0,4.33,4.67,4.0,4.33,4.0,4.0
41,02-510,2016,10.75,2.75,2.5,2.585,3.5,2.75,2.335
42,02-510,2017,8.0,3.75,2.5,3.0,4.25,3.125,2.75
43,02-510,2018,8.0,5.0,5.0,5.0,5.0,5.0,5.0
44,02-510,2019,11.0,3.67,3.67,3.835,4.335,3.5,3.33
45,02-512,2014,14.0,4.0,4.0,4.0,5.0,4.0,5.0
46,02-512,2016,8.0,5.0,5.0,5.0,5.0,5.0,5.0
47,02-512,2017,14.0,4.0,3.0,3.0,5.0,4.0,4.0
48,02-512,2018,5.0,5.0,5.0,4.0,5.0,4.0,5.0
49,02-513,2013,,3.75,3.5,3.75,4.25,3.75,3.75
50,02-513,2014,,3.67,4.0,4.0,4.33,4.33,4.0
51,02-518,2016,9.5,5.0,5.0,5.0,5.0,5.0,5.0
52,02-518,2017,5.0,5.0,5.0,5.0,5.0,5.0,5.0
53,02-518,2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0
54,02-530,2013,,4.75,5.0,4.5,4.5,4.75,5.0
55,02-601,2014,12.0,4.52,4.33,4.41,4.81,4.37,4.48
56,02-601,2015,14.2,4.27,3.93,4.2,4.67,3.93,3.93
57,02-601,2016,12.86,4.14,3.77,4.5,4.18,4.27,4.18
58,02-601,2017,13.195,4.359999999999999,4.15,4.5,4.42,4.390000000000001,4.359999999999999
59,02-601,2018,12.92,4.72,4.44,4.72,4.68,4.72,4.68
60,02-602,2015,3.935,4.14,4.279999999999999,4.0,4.1899999999999995,3.955,3.855
61,02-604,2016,19.0,4.83,4.67,4.83,5.0,4.67,4.5
62,02-604,2017,16.87,4.17,4.13,4.09,4.35,4.13,3.96
63,02-604,2018,15.3,4.2,3.44,4.0,3.9,3.9,3.9
64,02-604,2019,15.0,4.47,4.26,4.68,4.63,4.53,4.53
65,02-613,2014,13.26,4.56,4.38,4.67,4.88,4.53,4.56
66,02-613,2015,12.6,4.4,4.27,4.36,4.62,4.24,4.29
67,02-613,2016,10.82,3.67,3.38,3.52,4.38,3.46,3.5
68,02-613,2017,11.600000000000001,3.95,3.7249999999999996,3.8,4.425000000000001,3.7,3.875
69,02-613,2018,12.675,3.855,2.95,3.4299999999999997,4.5,3.075,3.3200000000000003
70,02-613,2019,9.5,4.0,3.0,3.5,4.5,3.0,3.0
71,02-651,2011,,3.835,3.96,3.71,3.96,3.71,3.71
72,02-651,2012,,4.42,4.33,4.25,4.25,4.17,4.17
73,02-651,2013,,4.41,4.14,4.36,4.59,4.18,3.95
74,02-651,2014,10.3,4.96,4.93,4.96,4.96,4.89,4.93
75,02-651,2015,8.09,4.87,4.83,4.7,4.91,4.78,4.65
76,02-651,2016,7.18,4.61,4.48,4.57,4.57,4.48,4.43
77,02-651,2017,6.95,4.5,4.35,4.35,4.5,4.16,4.15
78,02-652,2011,,4.75,4.75,5.0,4.875,4.875,4.625
79,02-652,2013,,4.43,4.33,4.484999999999999,4.53,4.4399999999999995,4.385
80,02-652,2014,14.33,4.53,4.68,4.53,4.53,4.37,4.37
81,02-652,2015,10.35,4.95,4.85,4.75,4.9,4.8,4.75
82,02-654,2012,,5.0,5.0,5.0,5.0,5.0,5.0
83,02-654,2013,,4.57,4.57,4.71,4.71,4.57,4.86
84,02-654,2014,10.0,4.36,4.45,4.27,4.27,4.45,4.36
85,02-654,2015,12.31,4.67,4.63,4.67,4.72,4.67,4.6
86,02-654,2016,7.86,3.33,3.07,3.2,3.47,2.8,3.0
87,02-654,2017,8.41,3.91,3.59,3.82,3.91,3.77,3.68
88,02-710,2009,,,,,,3.0,3.0
89,02-710,2010,,3.86,3.71,4.14,4.33,4.0,4.0
90,02-710,2011,,4.5,3.25,4.25,4.38,4.0,4.13
91,02-710,2012,,3.67,2.67,3.17,4.5,3.17,3.17
92,02-710,2013,,3.2,3.0,4.2,4.0,3.8,3.4
93,02-710,2014,,4.0,4.0,3.5,4.5,3.5,4.0
94,02-710,2015,13.44,3.78,3.33,3.56,3.78,3.67,3.56
95,02-710,2016,9.86,4.36,3.77,4.23,4.59,4.09,3.64
96,02-710,2017,11.81,4.33,3.9,4.29,4.67,4.24,3.57
97,02-710,2018,10.055,4.005,4.045,4.175,4.609999999999999,4.345,4.26
98,02-710,2019,9.36,4.18,4.045,4.045,4.775,3.91,4.0
99,02-711,2010,,4.0,5.0,5.0,5.0,5.0,5.0
100,02-711,2011,,5.0,5.0,5.0,5.0,5.0,5.0
