,desc,prereqs,coreqs,name,units,department,profs,School Level,Course
0,This course number is used by the Office of International Education. Students should not register themselves for this course.,None,None,Study Abroad,,Architecture,Instructor TBA,Freshman,48-049
1,No course description provided.,None,None,Undergraduate Internship,3.0,Architecture,"Arscott, Mary-Lou",Senior,48-490
2,None,None,None,Independent Study,,Architecture,Instructor TBA,Graduate,48-599
3,None,None,None,Practicum,,Architecture,Instructor TBA,Graduate,48-700
4,"Thesis is a year-long, independently defined research and design project that takes the place of upper level option studios.  Thesis is an opportunity to develop skills, thoughts, and habits essential for future success, including mental discipline; independence of mind and judgment; working with advisors;  the capacity to focus and pursue a subject in depth and over an extended time;  the ability to design and execute a complex project; the skills of analysis, synthesis, and clear writing; and the self-confidence that grows from mastering a difficult challenge.  Thesis topics and research agendas are generated by the student, but must be determined in collaboration with an advising team, and approved by a Thesis Coordinator.  The School seeks to encourage an expansive range of rigorous and provocative inquiry as a culminating experience for the B.Arch education, including work that speculates, invents, or improves on existing ideas, practices, or systems through research and design; work that challenges the boundaries of the discipline and the profession, and moves beyond mere practice or solution-based work; worj that engages with open-ended and generalizable ideas, as much as with specific situations; work that projects or imagines a better future and an improved world;  work that leads to the new knowledge, ideas, understanding, or paradigms.  Acceptance into Thesis is dependent on passing the 48-497 ?Thesis Prep? course or its pre-approved equivalent, and submitting a rigorous thesis proposal to the Thesis Coordinator in late August, before the begin of classes.",None,None,Architecture Design Studio: Thesis II/ Independent Project,18.0,Architecture,"Gutschow, Kai",Graduate,48-519
5,Missing Course Description - please contact the teaching department.,None,None,Internship (MS & PhD),,Architecture,Instructor TBA,Graduate,48-704
6,"This is the preparatory course for the synthesis project course in the  Master of Science in Sustainable Design (MSSD) program. Students will build  upon the Research Models and Methods class to develop an individual project  proposal in an area of their interest related to sustainable design. The  students will attend bi-weekly meetings with the instructor and will submit  a formal research project proposal at the conclusion of the semester  including an abstract, a research plan, a schedule, an annotated  bibliography and proposed deliverables.  Prerequisites: Fall Coursework as per curriculum.",None,None,Sustainable Design Synthesis Prep,12.0,Architecture,Instructor TBA,Graduate,48-731
7,TBA,None,None,Master of Architecture,3.0,Architecture,"Gutschow, Kai",Graduate,48-695
8,"Sustainable Design Synthesis II This is the synthesis project course in the Master of Science in Sustainable Design (MSSD) program in the School of Architecture at Carnegie Mellon University. This course deals with synthesis in solving sustainable design problems using the tools, theories and methods studied in the prerequisite courses. Students will attend weekly meetings with the instructor, conduct the proposed research, submit a final written report and make a presentation of their project in a public forum. Nine-Month Program: Students will build upon the Research Models and Methods class to finalize an individual project proposal in an area of their interest related to sustainable design.  Prerequisites: 48-711, 48-722, 48-737, 48-752 or approved equivalents plus one selective.  Co-requisites: 48-723 or approved equivalent plus two selectives.  Twelve-Month Program: Students will complete the proposed project developed and approved in the Sustainable Design Synthesis I course. Prerequisites: 48-711, 48-722, 48-737, 48-752, 48-723, 48-795 or approved equivalents plus three selectives  Instructor: Stephen Lee  Units: 24 Units",None,None,Sustainable Design Synthesis,,Architecture,"Loftness, Vivian",Graduate,48-732
9,This course is for students to undertake a major project in which knowledge gained in the core courses is applied to problems relevant to the field of architecture. Course must be taken under the advice of a faculty member teaching in the MSc-Ph.D. Programs. Master of Science Students who perform satisfactorily in the Graduate Research Seminar course are permitted to take the Masters project course. Prerequisite: completion of all core requirements and consent of the instructors of 48-790 and 48-791.,None,None,M.S. Project,,Architecture,"Krishnamurti, Ramesh",Graduate,48-791
10,This course is for Ph.D. students who have successfully completed their qualifying exams and are working on their dissertation work.     Instructo(s):  Units: 36,None,None,Ph.D. Thesis,,Architecture,Instructor TBA,Graduate,48-793
11,None,None,None,Graduate Reading and Research,,Architecture,Instructor TBA,Graduate,48-794
12,"This course is for students who wish to pursue work independent of all other courses offered, but consistent with the direction of the Ph.D. Programs.     Prerequisites: Written proposal for work by a faculty member teaching in the Ph.D. Program, and his/her agreement to advise the student. Both student and faculty must be in residence.      Instructor(s):  Units: 36",None,None,Ph.D. Independent Study,,Architecture,"Krishnamurti, Ramesh",Graduate,48-792
