,Year,Course ID,Hrs Per Week,Interest in student learning,Instructor provides feedback to students to improve,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate,Course
0,2019,48026,3.13,3.81,3.38,3.63,4.0,3.5,3.38,48-026
1,2019,48105,25.5,4.5,4.0,4.5,4.5,4.5,4.75,48-105
2,2019,48105,24.07,4.47,4.6,4.53,4.13,4.47,4.47,48-105
3,2019,48105,22.25,3.5,3.75,4.0,3.0,3.5,3.75,48-105
4,2019,48105,27.0,3.0,2.67,3.33,3.0,2.67,3.33,48-105
5,2019,48105,24.0,4.0,5.0,4.0,5.0,4.0,4.5,48-105
6,2019,48205,25.5,2.5,2.5,2.5,2.75,2.25,2.75,48-205
7,2019,48205,24.0,5.0,5.0,5.0,5.0,4.75,5.0,48-205
8,2019,48205,25.57,4.71,4.76,4.81,4.8,4.9,4.81,48-205
9,2019,48205,23.75,4.25,4.25,4.25,5.0,4.5,5.0,48-205
10,2019,48205,25.8,3.8,3.2,3.2,4.0,3.6,4.2,48-205
11,2019,48240,6.03,4.42,4.05,4.36,4.47,4.36,4.22,48-240
12,2019,48241,10.13,4.29,3.0,4.29,4.29,4.04,3.92,48-241
13,2019,48305,24.25,5.0,4.5,4.38,5.0,4.75,4.5,48-305
14,2019,48305,22.25,3.25,3.5,3.75,3.25,3.75,3.5,48-305
15,2019,48305,24.25,3.75,3.63,3.5,4.0,3.25,3.75,48-305
16,2019,48305,25.88,4.88,4.13,4.0,4.88,4.25,4.25,48-305
17,2019,48305,25.5,4.0,3.0,4.5,3.0,4.0,3.5,48-305
18,2019,48305,25.13,4.0,4.13,4.0,4.0,4.07,4.33,48-305
19,2019,48305,25.5,4.5,4.38,4.5,4.38,4.13,4.13,48-305
20,2019,48305,25.5,4.5,4.5,4.0,3.0,4.0,4.5,48-305
21,2019,48305,20.0,4.75,5.0,4.75,4.5,4.67,4.33,48-305
22,2019,48305,22.25,5.0,5.0,5.0,5.0,5.0,5.0,48-305
23,2019,48305,22.25,5.0,5.0,5.0,5.0,5.0,5.0,48-305
24,2019,48311,11.0,4.33,4.67,4.33,4.67,4.67,4.67,48-311
25,2019,48324,5.5,4.46,4.13,4.5,4.71,4.46,4.29,48-324
26,2019,48328,8.0,4.5,4.75,4.5,4.5,4.75,4.5,48-328
27,2019,48332,5.0,4.5,3.0,4.5,5.0,4.5,4.5,48-332
28,2019,48355,6.5,4.5,3.5,4.0,4.5,4.0,3.5,48-355
29,2019,48374,5.0,4.0,4.57,4.14,4.71,3.71,3.71,48-374
30,2019,48380,4.7,4.5,4.45,4.45,4.85,4.55,4.25,48-380
31,2019,48381,14.11,4.15,3.74,3.81,3.7,3.74,3.59,48-381
32,2019,48410,27.0,5.0,4.0,5.0,5.0,5.0,5.0,48-410
33,2019,48410,22.17,3.5,3.33,3.0,3.17,3.5,3.33,48-410
34,2019,48410,20.5,4.5,4.25,4.75,5.0,4.25,4.5,48-410
35,2019,48410,24.4,5.0,5.0,5.0,5.0,5.0,5.0,48-410
36,2019,48410,25.0,4.33,4.0,4.0,4.33,4.0,4.0,48-410
37,2019,48440,5.0,4.9,4.4,4.8,4.7,4.7,4.7,48-440
38,2019,48442,8.0,4.75,4.0,4.25,5.0,4.0,4.0,48-442
39,2019,48462,6.5,4.0,4.0,3.5,4.5,3.5,4.0,48-462
40,2019,48462,6.5,3.5,4.0,3.5,3.5,3.5,3.5,48-462
41,2019,48462,6.5,3.5,3.5,3.5,3.5,3.5,3.5,48-462
42,2019,48465,9.2,4.8,4.2,5.0,5.0,4.8,4.8,48-465
43,2019,48473,12.0,4.78,4.5,4.67,4.67,4.56,4.78,48-473
44,2019,48497,6.8,4.0,3.0,3.0,3.8,3.4,2.8,48-497
45,2019,48497,6.8,4.0,4.0,3.4,4.2,3.6,3.0,48-497
46,2019,48510,27.0,5.0,5.0,4.0,4.5,5.0,5.0,48-510
47,2019,48510,21.0,3.0,2.0,5.0,2.0,3.0,3.0,48-510
48,2019,48510,20.0,4.4,4.0,4.2,4.0,4.0,4.2,48-510
49,2019,48510,27.0,4.0,4.0,3.0,5.0,4.0,4.0,48-510
50,2019,48519,25.0,4.67,4.67,4.67,4.67,4.33,4.0,48-519
51,2019,48528,10.67,3.89,4.11,3.33,4.0,3.44,3.33,48-528
52,2019,48530,11.75,4.25,3.25,3.75,4.5,3.25,4.0,48-530
53,2019,48530,11.75,4.25,4.25,4.0,4.75,4.25,4.25,48-530
54,2019,48538,8.0,5.0,5.0,5.0,5.0,5.0,5.0,48-538
55,2019,48545,13.6,4.2,4.0,4.4,4.4,4.2,4.4,48-545
56,2019,48555,8.75,3.75,3.75,3.0,4.25,4.0,3.5,48-555
57,2019,48555,9.5,3.25,3.5,2.75,3.25,3.25,3.0,48-555
