,desc,prereqs,coreqs,name,units,department,profs,School Level,Course
0,None,None,None,Study Abroad,0.0,Architecture,Instructor TBA,Freshman,48-051
1,"The 48-105 studio, called Foundation II, is the second studio in CMU?s professional B.Arch program.  It builds on the lessons from 48-100 about clear architectural communication and abstract spatial-definition, but adds a greater emphasis on the material and experiential understanding of how architecture is made and used.  We continue to emphasize architectural drawing and models (both analog and digital) as the primary means of architectural communication, but also as a method of creatively exploring and rigorously testing fundamental architectural ideas.  We investigate, research, analyze, diagram, and apply lessons from local architecture, and great architecture of the past, in studio, and in the parallel survey of architectural history.   We introduce the use of ?systems,? ?computational thinking,? and ?rules? in the design process to create order, deal with a range of parameters, and satisfy specific performance criteria.  Beginning with more abstract formal design exercises, and ending with the design of a small building, we explore how tectonics, joinery, materials, as well as site, orientation, context, and human use can be harnessed to inspire great design.  The design process is still carefully controlled, but students are encouraged to begin to speculate and take careful risks.",48-100,62-123,Architecture Design Studio: Foundation II,15.0,Architecture,"Damiani, Gerard",Freshman,48-105
2,"Architecture is not only building, technology, drawings, etc., but also discourse, meaning, communication, and concept: or theory. This architectural history seminar will study in roughly chronological order some of the major theories and theoreticians of architecture from Vitruvius through the Renaissance, the Enlightenment, the 19th-century, up to the modern era. Throughout the seminar we will chart the changing definitions of what constitutes theory in architecture, and how it relates to other writings such as criticism and history. Well study in-depth how (if at all) theory relates to the intellectual context and built works before and after the writings. Students will discover how ideas on topics such as structure, expression, sustainability, form, and materials reoccur, and even the oldest theories have contemporary relevance. Work for the seminar will involve extensive readings, active class discussions, and a term paper on pre-20th-century architectural theory and how it relates to contemporary ideas.",None,None,History of Architectural Theory,9.0,Architecture,"Gutschow, Kai",Junior,48-311
3,"The basis for the CMU studio course sequence is the expectation that the student retains and applies knowledge gained each semester to the current studio. The spring semester of the third year of architectural studies at Carnegie Mellon University is concerned with the detailed development and refinement of an architectural design as informed by the technical knowledge of structural systems, enclosure systems and the process of construction. The student is expected to articulate concepts and develop designs with more precision and in greater detail than done in previous studios and courses. In addition to criteria related to the development of design skills appropriate to ones sixth semester of the studio sequence, the following criteria are an explicit part of the evaluation of the student work: Aesthetics: The degree to which the design responds to formal issues as articulated in prior design studios. Structural System: The degree to which the proposed building is presented as a statically stable structure which defines the spatial order and satisfies the architectural intentions made explicit in the project. Enclosure System: The degree to which the proposed enclosure system satisfies the design requirements and responds to the physical phenomena of the environment into which it is placed. Material Selection: The degree to which the selected building materials and their implementation are appropriate to the occupancy, articulate the architectural order, and satisfy the physical design requirements. Constructability: The degree to which the proposed building is developed in response to an understanding of the processes of construction.  Presentation: The clarity, craft and completeness of the presentation.",48-300,None,Architecture Design Studio: Integration II,18.0,Architecture,"Lee, Stephen",Junior,48-305
4,"Building on the fall studio, the spring semester is concerned with more in-depth understanding and development of designs for small-scale buildings, now informed by greater knowledge related to materials, fabrication, and the act of construction.  Following the New Materiality evident in architecture today, and acknowledging the importance of materials and assembly techniques for sustainable design, we seek to explore the aesthetic and experiential meaning of materials (WHY?), and the technical knowledge related to the use of materials and the processes of construction (HOW?).  The creative opportunities and design implications of using varied materials, structural systems, fabrication and assembly techniques--both analogue and digital--are elaborated, especially as they determine the artistic, conceptual, poetic, creative, spatial, and experiential aspects of architecture.  The studio projects, lectures, and the required building study will focus on the application and integration of knowledge acquired in a parallel Materials  Assembly course 48-215.",48-200,48-215,Architecture Design Studio: Elaboration II,18.0,Architecture,"Ficca, Jeremy",Sophomore,48-205
5,"This survey of modern architectural history lecture course picks up where the historical survey 48-240 leaves off.  It focuses attention on the 20th-century, and investigates the web of interwoven ideas and issues that characterize the modern age and ?modernism.?  We begin with a look at the crisis of modernity that plagued most of western civilization in the late 19th-century, and then survey the major movements of the avant-garde and other responses to modernity, and end with what came to be known as ?Post-Modernism.?  We will look more closely at the increasing divide between the ?disciplinary? edge of architecture, and architecture?s increasing ?professionalization? in the last century, focusing on how architecture has influenced culture through experimentation and provocative thinking, even when the primary intent was functional, technological, social, political, etc. Emphasis will be placed on the relationship of buildings to the more general cultural, intellectual, and historical circumstances in which they were created.  Special attention will be devoted to the important manifestoes, theoretical, and critical writings that so determined the project of modern architecture.",None,None,Modern Architecture,9.0,Architecture,"Gutschow, Kai",Sophomore,48-241
6,"The first year seminar (part 2) introduces students to opportunities at Carnegie Mellon University and beyond.  The goal of this course is to encourage students to pursue their interests inside and outside of the School of Architecture by introducing a range of opportunities, including study abroad experiences, internships, academic minors/additional majors, and graduate study.  The introduction of the study abroad process and travel options will encourage students to consider a study away experience into their academic curriculum.  Students will explore their additional academic interests by identifying their psychological preferences through the Myers-Briggs Type Indicator and matching these preferences with academic minors/additional majors at CMU.   The presentation of the Intern Development Program (IDP) will engage students in considering future plans for earning IDP hours and understanding the process of securing an architectural internship.  Students will be introduced to the process of developing an independent research project.  Additional topical areas to be covered in the seminar will include an evaluation of the previous semester, scholarship/academic funding opportunities, graduate studies, and schedule planning for upcoming semesters.",None,None,First Year Seminar: Architecture Edition II,3.0,Architecture,"Workinger, Heather",Freshman,48-026
7,To be provided by department,None,None,Structures/Statics,9.0,Architecture,"Oppenheim, Irving",Junior,48-324
8,"This course looks toward the role of the architectural detail in the formation and thematic development of a work of architecture. Students interested in this course need to have willingness to explore and research building details, speculate on their appropriateness and document through analytical drawing their intent and assembly. The course will be composed of a weekly lecture and weekly discussion of research and drawing development made by each of the students.",48-205,None,Detailing Architecture,9.0,Architecture,"Damiani, Gerard",Junior,48-328
9,"Course addresses perspective on the basis of three distinct understandings of perceptual psychology:    1) A Kinesthetic Basis for Perspective, which is built on the drawing pedagogy of Kimon Nicholaides.  It aligns with the transactionalist understanding of perception and considers perspective as partly invented and partly discovered truth.     2)The Order of Appearance, which is built on the early work of the perceptual psychologist, J.J. Gibson, and aligns with the ecological  position of Gibson and his followers  It considers perspective as an absolute truth of the visual field.    3)Perspective Imposed, which aligns implicitly with the position of Gestalt  psychology.  It treats perspective as an imposed schema.      Along the way some use is made of on-going design work for subject material.  Work is submitted in 3 portfolio submissions of 3-4 weeks duration each.",48-105,None,Perspective,9.0,Architecture,"Cooper, Douglas",Junior,48-355
10,"This course serves as an introduction to the architecture that developed in the Islamic lands over the centuries.   The aim of the course is to provide a basic understanding of major epochs and regional variations, examining the social and historical context within which Islamic art and architecture developed. Through lectures, discussion and guided research activities, the students will learn the function and meaning of the most important building types, examine how these types changed over time to adapt to the needs of changing societies, and consider influences and exchanges with other traditions.  While the main geographical focus of the course will be on the Mediterranean area, from Moorish Spain to the modern Middle East, the students will have the opportunity to develop independent research projects on other areas of the Islamic world.",48-240,None,History of Architecture in the Islamic World- A Primer,9.0,Architecture,"Torello, Francesca",Junior,48-374
11,"This course will provide an overview of the real estate development process and explore the interdependence of real estate development and design. The course will introduce real estate development team members, processes, and phases, including feasibility, predevelopment, construction, and marketing. The course will include a substantial financial component that will introduce students to the basic techniques of property valuation, project budgeting, pro forma analysis, sourcing of financing, and investment analysis. Students will study how market demand, tenant requirements, site constraints, zoning restrictions, and available capital affect design solutions. Course work includes classroom learning, independent reading and exercises, guest lectures, and examination of case studies. The semester?s effort culminates in the execution of a team development project based on a current Pittsburgh development project. Teams will complete a basic market analysis, program evaluation, schematic design creation, project cost estimation, pro forma analysis, and evaluation of financial feasibility. Development practitioners will provide a critique of each team?s project to offer ?real world? guidance on student schematic designs and feasibility analysis prior to the final completion of the project.",None,None,Real Estate Design and Development,6.0,Architecture,"Vavasis, Valentina",Junior,48-380
12,"In this course, students will learn about effective strategies for teaching architecture and the built environment. Topics include the cognitive differences between novices and experts, instructional techniques, and goal alignment. As part of the coursework, each student will implement these teaching strategies to design and teach a lesson. Elements of developmental psychology, learning theories, and classroom practices will inform the architectural education lesson. Teaching and learning techniques can be generalized for communication with clients, practice, and the community.",None,None,Teaching and Learning,6.0,Architecture,"Workinger, Heather",Junior,48-332
13,"An examination of moral concepts, reasoning, and methodologies that influence the built and natural environments through action/applied ethics. The course utilizes principles of business practice as a foundational lens through which to understand central and contingent dimensions of contemporary professional practice in, and related to, architecture. Lecture content and assignments emphasize establishing a critical awareness and broad understanding of the mediating factors that inform the intelligent resolution of architecture and construction through multiple forms of advocacy. Theory, case studies, analytical exercises, representational investigation, and production are utilized as a means of developing knowledge in the contractual, legal, fiscal and representational contexts requisite for the fulfillment of the architects social contract.",None,None,Ethics and Practice,12.0,Architecture,"Folan, John",Junior,48-381
14,"Despite the leveling forces of mass culture and globalization, the geographic and social diversity of the U.S. has created distinctive regional mosaics of landscape and architecture. Say New England and images of English Pilgrims, town greens with white framed churches, and industrial mill villages may come to mind. The Southwest conjures different images, perhaps of adobe pueblos, Spanish friars, arid ranches, and the color turquoise. The built environment of the Midwest, the California coast, the Mississippi Delta, and many places in between reflect particular regional identities that have been both unconsciously and consciously created over time. This course examines the historical development of regional patterns in the American built environment. It investigates how and why a regions architectural identity evolved in the ways that it did. To what degree is place something to respond to, to interact with, and to what degree is place something that is created? Our focus will be primarily pre-20th century when the forces of vernacular traditions were stronger, we will also examine more recent trends of regionalism as an aesthetic choice and a theoretical stance.",48-240,None,"American Regions & Regionalism: An Architectural History of Place, Time, and Cul",9.0,Architecture,"Shaw, Diane",Senior,48-440
15,Course Description coming soon.,48-305,None,ASOS II Lecture,18.0,Architecture,Instructor TBA,Senior,48-410
16,"The development of Indian, Chinese, Korean and Japanese urban space and architecture was guided by both originality and assimilation. This course is intended to serve as an introduction to the evolution of urban spaces and the function of the architecture within them. It is organized chronologically and will examine the impact of indigenous philosophical principles as well as Hindu, Buddhist and Confucian concepts on the organization of villages, capital cities, and religious centers. The course will begin in the Indus Valley. We will examine Indian Hindu and Buddhist cave monasteries as well as freestanding Hindu temples and identify the salient architectural forms that identify each type. We will then move to China where the earliest villages were arranged according to ideas about nature and the organizing system of fengshui. We will then move through urban organization and Buddhist temples in Korea to Japan where the Chinese model was adopted for early Japanese capitals. Chinese, Korean and Japanese religious centers will be studied as examples of both indigenous ideas and the adoption of Buddhist beliefs and temple organization. The examination of the Japanese warrior culture will include castles, new ideas in residential architecture, the Pleasure Quarters, and retirement villas. Contemporary architecture will be addressed through group projects that will examine specific structures from an Asian country of their choice. Each group will situate the modern buildings within the cultural and historic circumstances that led to their creation and propose ways that modern building design could be used in their own future work",48-240,None,History of Asian Architecture,9.0,Architecture,"Linduff, Katheryn",Senior,48-442
17,No course description provided.,None,None,From the Acanthus to the Anthropocene: Nature's Representation in Architectural,9.0,Architecture,"Huber, Matthew",Senior,48-465
