0,Architecture
1,Art
2,BXA Intercollege Degree Programs
3,Biological Sciences
4,Biomedical Engineering
5,Business Administration
6,CFA Interdisciplinary
7,CIT Interdisciplinary
8,Carnegie Mellon University-Wide Studies
9,Center for the Arts in Society
10,Center for the Neural Basis of Cognition
11,Chemical Engineering
12,Chemistry
13,Civil & Environmental Engineering
14,Creative Enterprise:Sch of Pub Pol & Mgt
15,Design
16,Dietrich College Information Systems
17,Dietrich College Interdisciplinary
18,Drama
19,Economics
20,Electrical & Computer Engineering
21,Engineering & Public Policy
22,English
23,Entertainment Technology Pittsburgh
24,General Dietrich College
25,Heinz College Wide Courses
26,History
27,Information & Communication Technology
28,Information Networking Institute
29,Information Systems:Sch of IS & Mgt
30,Institute for Politics and Strategy
31,Integrated Innovation Institute
32,MCS Interdisciplinary
33,Materials Science & Engineering
34,Mathematical Sciences
35,Mechanical Engineering
36,Medical Management:Sch of Pub Pol & Mgt
37,Modern Languages
38,Music
39,Naval Science - ROTC
40,Philosophy
41,Physical Education
42,Physics
43,Psychology
44,Public Management:Sch of Pub Pol & Mgt
45,Public Policy & Mgt:Sch of Pub Pol & Mgt
46,SCS: Computational Biology
47,SCS Interdisciplinary
48,SCS: Computer Science
49,SCS: Human-Computer Interaction
50,SCS: Institute for Software Research
51,SCS: Language Technologies Institute
52,SCS: Machine Learning
53,SCS: Robotics
54,Social & Decision Sciences
55,Statistics and Data Science
56,StuCo (Student Led Courses)
57,Tepper School of Business
